Timestamp,RPM,Speed,Throttle,BrakePressure,Gear,OilPressure,EngineTemp,BatteryVoltage,EngineOn
0,6,0,3,0,1,20,1,140,1
10,18,0,6,0,1,20,2,140,1
20,36,0,9,0,1,20,3,140,1
30,60,0,12,0,1,20,4,140,1
40,90,0,15,0,1,20,5,140,1
50,126,1,18,0,1,21,6,140,1
60,168,1,21,0,1,21,7,140,1
70,216,2,24,0,1,22,8,140,1
80,270,2,27,0,1,22,9,140,1
90,330,3,30,0,1,23,10,140,1
100,396,3,33,0,1,23,11,140,1
110,468,4,36,0,1,24,12,140,1
120,546,5,39,0,1,25,13,140,1
130,630,6,42,0,1,26,14,140,1
140,720,7,45,0,1,27,15,140,1
150,816,8,48,0,2,28,16,140,1
160,918,9,51,0,2,29,17,140,1
170,1026,10,54,0,2,30,18,140,1
180,1140,11,57,0,2,31,19,140,1
190,1260,12,60,0,2,32,20,140,1
200,1386,13,63,0,2,33,21,140,1
210,1518,14,66,0,2,35,22,140,1
220,1656,15,69,0,2,36,23,140,1
230,1800,16,72,0,2,38,24,140,1
240,1950,17,75,0,2,39,25,140,1
250,2106,18,78,0,2,41,26,140,1
260,2268,19,81,0,2,42,27,140,1
270,2436,20,84,0,2,44,28,140,1
280,2610,21,87,0,3,46,29,140,1
290,2790,22,90,0,3,47,30,140,1
300,2976,23,93,0,3,49,31,140,1
310,3168,24,96,0,3,51,32,140,1
320,3366,25,99,0,3,53,33,140,1
330,3570,26,102,0,3,55,34,140,1
340,3774,27,102,0,3,57,35,140,1
350,3978,28,102,0,3,59,36,140,1
360,4182,29,102,0,4,61,37,140,1
370,4386,30,102,0,4,63,38,140,1
380,4590,31,102,0,4,65,39,140,1
390,4794,32,102,0,4,67,40,140,1
400,4998,33,102,0,4,69,41,140,1
410,5202,34,102,0,4,72,43,140,1
420,5406,35,102,0,4,74,45,140,1
430,5610,36,102,0,5,76,47,140,1
440,5814,37,102,0,5,78,49,140,1
450,6018,38,102,0,5,80,51,140,1
460,6222,39,102,0,5,82,53,140,1
470,6426,40,102,0,5,84,55,140,1
480,6630,41,102,0,5,86,57,140,1
490,6834,42,102,0,5,88,59,140,1
500,7000,43,102,0,5,90,61,140,1
510,7000,44,102,0,5,90,63,140,1
520,7000,45,102,0,5,90,65,140,1
530,7000,46,102,0,5,90,67,140,1
540,7000,47,102,0,5,90,69,140,1
550,7000,48,102,0,5,90,71,140,1
560,7000,49,102,0,5,90,73,140,1
570,7000,50,102,0,5,90,75,140,1
580,7000,51,102,0,5,90,77,140,1
590,7000,52,102,0,5,90,79,140,1
600,7000,53,102,0,5,90,81,140,1
610,7000,54,102,0,5,90,83,140,1
620,7000,55,102,0,5,90,85,140,1
630,7000,56,102,0,5,90,87,140,1
640,7000,57,102,0,5,90,89,140,1
650,7000,58,102,0,5,90,91,140,1
660,7000,59,102,0,5,90,93,140,1
670,7000,60,102,0,5,90,95,140,1
680,7000,61,102,0,5,90,97,140,1
690,7000,62,102,0,5,90,99,140,1
700,7000,63,102,0,5,90,101,140,1
710,7000,64,102,0,5,90,103,140,1
720,7000,65,102,0,5,90,105,140,1
730,7000,66,102,0,5,90,107,140,1
740,7000,67,102,0,5,90,109,140,1
750,7000,68,102,0,5,90,111,140,1
760,7000,69,102,0,5,90,111,140,1
770,7000,70,102,0,5,90,111,140,1
780,7000,70,102,0,5,90,111,140,1
790,7000,70,102,0,5,90,111,140,1
800,7000,70,102,0,5,90,111,140,1
810,7000,70,102,0,5,90,111,140,1
820,7000,70,102,0,5,90,111,140,1
830,7000,70,102,0,5,90,111,140,1
840,7000,70,102,0,5,90,111,140,1
850,7000,70,102,0,5,90,111,140,1
860,7000,70,102,0,5,90,111,140,1
870,7000,70,102,0,5,90,111,140,1
880,7000,70,102,0,5,90,111,140,1
890,7000,70,102,0,5,90,111,140,1
900,7000,70,102,0,5,90,111,140,1
